time,A,B,packetloss,latency,throughput
2017-06-13 10:47:45,client3,server, 0,98.652,3097.897
2017-06-13 10:49:00,client3,server, 0,98.424,2984.007
2017-06-13 10:50:15,client3,server, 20,100.280,3148.158
2017-06-13 10:51:30,client3,server, 0,99.116,3152.381
2017-06-13 10:52:45,client3,server, 0,98.329,3198.374
2017-06-13 10:54:00,client3,server, 20,98.545,3062.607
2017-06-13 10:55:15,client3,server, 0,102.521,3005.222
2017-06-13 10:56:30,client3,server, 20,103.189,2936.701
2017-06-13 10:57:45,client3,server, 0,99.923,3068.777
2017-06-13 10:59:00,client3,server, 0,98.754,3155.583
2017-06-13 11:00:15,client3,server, 0,98.203,3109.584
2017-06-13 11:01:29,client3,server, 0,98.268,2802.935
2017-06-13 11:02:44,client3,server, 0,98.650,3184.451
2017-06-13 11:03:59,client3,server, 0,99.027,3021.648
2017-06-13 11:05:13,client3,server, 0,98.066,3136.399
2017-06-13 11:06:28,client3,server, 0,98.753,3021.536
2017-06-13 11:07:43,client3,server, 0,98.493,3135.327
2017-06-13 11:08:57,client3,server, 0,99.779,3105.067
2017-06-13 11:10:12,client3,server, 0,114.057,3125.669
2017-06-13 11:11:27,client3,server, 0,100.155,2909.683
2017-06-13 11:12:42,client3,server, 0,99.153,3165.86
2017-06-13 11:13:56,client3,server, 0,101.142,3094.862
2017-06-13 11:15:11,client3,server, 0,98.359,3238.574
2017-06-13 11:16:26,client3,server, 0,98.575,3231.584
2017-06-13 11:17:40,client3,server, 0,99.363,3173.315
2017-06-13 11:18:55,client3,server, 0,97.923,3108.806
